Jasonville city	Indiana	2147	[[-87.21271300000001, 39.150293999999995], [-87.18474199999999, 39.171022]]
Lyons town	Colorado	2148	[[-105.283028, 40.20855900000001], [-105.24402500000002, 40.23813900000001]]
Mason City city	Illinois	2148	[[-89.71175000000001, 40.193228000000005], [-89.67866219999999, 40.208695000000006]]
Haynesville town	Louisiana	2148	[[-93.16232799999999, 32.948502000000005], [-93.11478799999999, 32.993401]]
Southmont borough	Pennsylvania	2148	[[-78.94908500000001, 40.303765999999996], [-78.915885, 40.31737699999999]]
Fort Pierre city	South Dakota	2148	[[-100.400762, 44.344772], [-100.36348699999999, 44.3895198]]
Ashford town	Alabama	2149	[[-85.259343, 31.167060000000003], [-85.21454100000001, 31.203619999999997]]
Star City city	Arkansas	2150	[[-91.865226, 33.918563999999996], [-91.80425900000002, 33.962700000000005]]
Ely city	Iowa	2150	[[-91.6010817, 41.864242], [-91.5688519, 41.8860428]]
Kershaw town	South Carolina	2151	[[-80.604284, 34.525691], [-80.569287, 34.557373999999996]]
Willow Springs city	Missouri	2152	[[-91.981798, 36.982002], [-91.981638, 36.982152000000006]]
